pair,rung,cell,ticks,certificate,separation,l1,mass_error,seconds,notes
control-k15-vs-p6,control,ladder,4,coherent,1.657022e-02,7.906054e-02,9.28e-03,2.4,1 - mass is the Poisson weight beyond two photons
regular-24,1fwl-blind,ladder,2,two-photon,2.035445e-08,3.053168e-08,1.78e-15,4.0,
regular-24,1fwl-blind,ladder,2,one-photon,0.000000e+00,0.000000e+00,0.00e+00,4.0,
regular-24,1fwl-blind,ladder,2,coherent,1.387779e-17,1.431147e-17,1.15e-02,4.0,1 - mass is the Poisson weight beyond two photons
regular-24,1fwl-blind,ladder,3,two-photon,1.609695e-04,6.743554e-04,4.44e-16,4.3,
regular-24,1fwl-blind,ladder,3,one-photon,2.074497e-04,4.148993e-04,0.00e+00,4.3,
regular-24,1fwl-blind,ladder,3,coherent,0.000000e+00,0.000000e+00,1.18e-02,4.3,1 - mass is the Poisson weight beyond two photons
regular-24,1fwl-blind,ladder,4,two-photon,1.483227e-04,5.649685e-04,8.88e-16,4.5,
regular-24,1fwl-blind,ladder,4,one-photon,1.359301e-04,3.230737e-04,0.00e+00,4.5,
regular-24,1fwl-blind,ladder,4,coherent,6.938894e-18,7.372575e-18,6.23e-03,4.5,1 - mass is the Poisson weight beyond two photons
regular-47,1fwl-blind,ladder,2,two-photon,2.567783e-08,3.851675e-08,4.44e-16,10.1,
regular-47,1fwl-blind,ladder,2,one-photon,0.000000e+00,0.000000e+00,0.00e+00,10.1,
regular-47,1fwl-blind,ladder,2,coherent,0.000000e+00,0.000000e+00,1.12e-02,10.1,1 - mass is the Poisson weight beyond two photons
regular-47,1fwl-blind,ladder,3,two-photon,2.294425e-05,1.234303e-04,1.44e-15,10.5,
regular-47,1fwl-blind,ladder,3,one-photon,3.209410e-05,7.545406e-05,0.00e+00,10.5,
regular-47,1fwl-blind,ladder,3,coherent,0.000000e+00,0.000000e+00,1.04e-02,10.5,1 - mass is the Poisson weight beyond two photons
regular-47,1fwl-blind,ladder,4,two-photon,1.527163e-04,5.040558e-04,2.22e-15,10.8,
regular-47,1fwl-blind,ladder,4,one-photon,1.485283e-04,2.970566e-04,0.00e+00,10.8,
regular-47,1fwl-blind,ladder,4,coherent,2.081668e-17,3.686287e-17,8.22e-03,10.8,1 - mass is the Poisson weight beyond two photons
extension-09,1fwl-blind,ladder,2,two-photon,2.627953e-09,3.941930e-09,1.33e-15,3.8,
extension-09,1fwl-blind,ladder,2,one-photon,5.551115e-17,5.551115e-17,0.00e+00,3.8,
extension-09,1fwl-blind,ladder,2,coherent,1.387779e-17,1.387779e-17,1.14e-02,3.8,1 - mass is the Poisson weight beyond two photons
extension-09,1fwl-blind,ladder,3,two-photon,2.965906e-05,1.174889e-04,2.22e-16,3.7,
extension-09,1fwl-blind,ladder,3,one-photon,3.551096e-05,7.102192e-05,0.00e+00,3.7,
extension-09,1fwl-blind,ladder,3,coherent,2.081668e-17,2.949030e-17,1.46e-02,3.7,1 - mass is the Poisson weight beyond two photons
extension-09,1fwl-blind,ladder,4,two-photon,2.691292e-04,8.757740e-04,8.88e-16,3.8,
extension-09,1fwl-blind,ladder,4,one-photon,2.542822e-04,5.085643e-04,0.00e+00,3.8,
extension-09,1fwl-blind,ladder,4,coherent,1.387779e-17,2.179246e-17,6.47e-03,3.8,1 - mass is the Poisson weight beyond two photons
